Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
TI22_markdup	80725526.0	0.0	80725526.0	1.0	40362763.0	40362763.0	80117794.0	79871894.0	607732.0	79544540.0	80725526.0	6688857.0	10208500.0	0.0	95456.0	0.0	9830044140.0	4921482112.0	4908562028.0	9758659803.0	9605395290.0	0.0	783695268.0	126915945.0	0.01321298	121.0	122.0	122.0	126.0	126.0	126.0	34.1	302.3	124.2	36203895.0	3600916.0	21486.0	109650.0	98.5	99.24716253939306	98.94255009251968	0.752837460606946	98.53703523715659	100.0	8.285925569565196	12.645938039474652	0.0
TI28_markdup	66144506.0	0.0	66144506.0	1.0	33072253.0	33072253.0	65593297.0	65398094.0	551209.0	65074294.0	66144506.0	10287767.0	15279130.0	0.0	143128.0	0.0	7545384022.0	3780760951.0	3764623071.0	7484008753.0	7338710178.0	0.0	1126292010.0	114675774.0	0.01562615	114.0	114.0	114.0	126.0	126.0	126.0	34.5	179.5	90.5	22358361.0	10199726.0	18039.0	122921.0	98.4	99.16665943502548	98.87154346575663	0.833340564974512	98.38200923293614	100.0	15.55347166701948	23.099620700168206	0.0
TI34_markdup	121097240.0	0.0	121097240.0	1.0	60548620.0	60548620.0	120398528.0	120116152.0	698712.0	119756944.0	121097240.0	9926983.0	12972650.0	0.0	121202.0	0.0	14607187597.0	7309561113.0	7297626484.0	14525404488.0	14348265742.0	0.0	1159567019.0	147055287.0	0.01024899	120.0	121.0	121.0	126.0	126.0	126.0	34.6	252.0	109.5	51485068.0	8427307.0	15558.0	130143.0	98.9	99.42301575163893	99.18983454949097	0.5769842483610691	98.89320681462269	100.0	8.197530348338244	10.712589320780557	0.0
TI35_markdup	113175308.0	0.0	113175308.0	1.0	56587654.0	56587654.0	112368991.0	112048518.0	806317.0	111743580.0	113175308.0	9585038.0	12150680.0	0.0	94808.0	0.0	13744777183.0	6879792745.0	6864984438.0	13649246635.0	13466356772.0	0.0	1126919388.0	152024116.0	0.01128918	121.0	122.0	121.0	126.0	126.0	126.0	34.3	265.2	110.4	49523285.0	6381666.0	11203.0	108105.0	98.7	99.28755042575187	99.00438530284362	0.7124495742481214	98.73494667229004	100.0	8.469195418491815	10.73615810261369	0.0
TI36_markdup	83077828.0	0.0	83077828.0	1.0	41538914.0	41538914.0	82503706.0	82290464.0	574122.0	81987362.0	83077828.0	8006984.0	11087819.0	0.0	87382.0	0.0	10133434314.0	5073170439.0	5060263875.0	10066291332.0	9913141629.0	0.0	941932023.0	119422348.0	0.01204687	121.0	122.0	122.0	126.0	126.0	126.0	34.4	286.9	112.0	37479547.0	3545760.0	17143.0	102782.0	98.7	99.30893474971445	99.05225736041149	0.6910652502855514	98.68741633447615	100.0	9.637931314237056	13.34630342045052	0.0
TI37_markdup	167397546.0	0.0	167397546.0	1.0	83698773.0	83698773.0	166003336.0	165423236.0	1394210.0	164726084.0	167397546.0	18884514.0	22804894.0	0.0	194733.0	0.0	20445673337.0	10238362999.0	10207310338.0	20281753896.0	19941977799.0	0.0	2237969094.0	243161992.0	0.01219347	122.0	122.0	122.0	126.0	126.0	126.0	34.3	296.0	115.8	75655086.0	6782635.0	40276.0	233621.0	98.4	99.16712638069379	98.82058605566417	0.8328736193062233	98.40412116913589	100.0	11.281237061862305	13.623194930229143	0.0
TI38_markdup	135972566.0	0.0	135972566.0	1.0	67986283.0	67986283.0	134753924.0	134305624.0	1218642.0	133685720.0	135972566.0	15091104.0	19060215.0	0.0	177617.0	0.0	16611887633.0	8320021073.0	8291866560.0	16469320379.0	16183072976.0	0.0	1781210793.0	201675861.0	0.01246215	122.0	122.0	122.0	126.0	126.0	126.0	34.3	306.3	118.2	61821179.0	5082636.0	55297.0	193700.0	98.3	99.1037589156036	98.77406005561446	0.8962410843963922	98.31815632574	100.0	11.098638823952179	14.017691627589054	0.0
TI39_markdup	111309966.0	0.0	111309966.0	1.0	55654983.0	55654983.0	110306989.0	109974074.0	1002977.0	109242206.0	111309966.0	10169924.0	14747648.0	0.0	235270.0	0.0	13595188737.0	6807138756.0	6788049981.0	13477696966.0	13257520430.0	0.0	1201028399.0	154408983.0	0.0116469	122.0	122.0	122.0	126.0	126.0	126.0	34.3	298.6	117.0	50367344.0	4307937.0	83345.0	228411.0	98.1	99.09893333360644	98.79984511000569	0.9010666663935555	98.14234064180741	100.0	9.136579917740699	13.249171237730861	0.0
TI40_markdup	104014788.0	0.0	104014788.0	1.0	52007394.0	52007394.0	103161784.0	102833552.0	853004.0	102432384.0	104014788.0	7256747.0	10348915.0	0.0	127833.0	0.0	12675343384.0	6343838381.0	6331505003.0	12574262647.0	12407094198.0	0.0	856123531.0	138418941.0	0.01115644	121.0	122.0	122.0	126.0	126.0	126.0	34.3	281.3	112.8	46268978.0	4982201.0	36148.0	129449.0	98.5	99.17992045515682	98.86435763345497	0.8200795448431812	98.47867401316051	100.0	6.976649320287034	9.949465070293659	0.0
TI41_markdup	138237064.0	0.0	138237064.0	1.0	69118532.0	69118532.0	137129140.0	136699172.0	1107924.0	136197306.0	138237064.0	13943474.0	17301761.0	0.0	141852.0	0.0	16895095753.0	8457910220.0	8437185533.0	16764831631.0	16499400757.0	0.0	1647869373.0	195312478.0	0.01183755	122.0	122.0	122.0	126.0	126.0	126.0	34.3	303.5	117.8	62836948.0	5317260.0	25444.0	169934.0	98.5	99.19853332533162	98.88749662680915	0.8014666746683798	98.52444927505115	100.0	10.086639282211607	12.516007284413968	0.0
TI44_markdup	112781446.0	0.0	112781446.0	1.0	56390723.0	56390723.0	111370458.0	110987958.0	1410988.0	110300712.0	112781446.0	10973727.0	15268198.0	0.0	267579.0	0.0	13751926988.0	6883144555.0	6868782433.0	13585560768.0	13371898827.0	0.0	1302431684.0	133596712.0	0.009990856	121.0	122.0	122.0	126.0	126.0	126.0	34.5	251.5	93.1	50033849.0	5166951.0	63466.0	229713.0	97.8	98.74891832828602	98.40976679798909	1.2510816717139803	97.8004059284716	100.0	9.730081843426621	13.537863311310977	0.0
TI46_markdup	57140116.0	0.0	57140116.0	1.0	28570058.0	28570058.0	56576815.0	56424046.0	563301.0	55915412.0	57140116.0	10341343.0	10901171.0	0.0	178237.0	0.0	6960013231.0	3490327212.0	3469686019.0	6896326099.0	6750298320.0	0.0	1228383195.0	66877212.0	0.009907298	121.0	122.0	121.0	126.0	126.0	126.0	35.3	310.9	118.0	26467301.0	1524333.0	77222.0	143167.0	97.9	99.0141759600208	98.74681738482995	0.9858240399791978	97.85666518422889	100.0	18.09821842153768	19.077964419953226	0.0
TI48_markdup	46579684.0	0.0	46579684.0	1.0	23289842.0	23289842.0	46013590.0	45781396.0	566094.0	43463880.0	46579684.0	11986836.0	17486194.0	0.0	727749.0	0.0	5562842062.0	2799106746.0	2763735316.0	5501284936.0	5237884238.0	0.0	1366788961.0	106375086.0	0.02030879	119.0	120.0	119.0	126.0	126.0	126.0	34.3	406.2	163.5	20702509.0	1098534.0	584866.0	504789.0	93.3	98.78467616912128	98.28618845932918	1.2153238308787153	93.31080906431224	100.0	25.734043193594875	37.540387779358916	0.0
bSteHir1_markdup	741999534.0	0.0	741999534.0	1.0	370999767.0	370999767.0	730389646.0	723707192.0	11609888.0	451978894.0	741999534.0	154488279.0	46825515.0	0.0	105966672.0	0.0	91569456927.0	45929364392.0	45640092535.0	90220966945.0	80239860759.0	0.0	18950633011.0	2627774375.0	0.03274899	123.0	124.0	123.0	125.0	125.0	125.0	38.8	2180.9	3276.8	238475406.0	31371935.0	44023993.0	47982262.0	60.9	98.43532408471836	97.53472324957013	1.5646759152816394	60.91363582985754	100.0	20.82053585225028	6.310720270614079	0.0
